x,y,z
"-0.0013677934184670448","-0.01767185889184475","0.08238935470581055"
"-0.004481927491724491","-0.0012362431734800339","0.0013532042503356934"
"0.0012785224243998528","0.005427660420536995","-0.04753690958023071"
"8.348282426595688e-05","0.002677176147699356","-0.02910149097442627"
"-0.0007875221781432629","-0.0012375805526971817","-0.005623519420623779"
"-0.0008242055773735046","-0.002215590327978134","-0.0014290809631347656"
"0.00012477580457925797","-0.0008999425917863846","-0.009638488292694092"
"-0.00035265833139419556","0.00010236352682113647","-0.016030848026275635"
"-0.000350054819136858","0.0002390630543231964","-0.015265941619873047"
"-0.0003567277453839779","0.00024038925766944885","-0.01535719633102417"
"-0.0002077026292681694","-0.0005120020359754562","-0.012885510921478271"
"0.0001924494281411171","-0.00026585347950458527","-0.01396799087524414"
"-0.0007968624122440815","-0.0005342569202184677","-0.012517571449279785"
"0.00031957076862454414","-0.0009581279009580612","-0.013921797275543213"
"-0.00038612307980656624","-0.00045937858521938324","-0.013769209384918213"
"0.00033021392300724983","-0.00039638206362724304","-0.014822602272033691"
"-0.00023216567933559418","-0.0003116428852081299","-0.014608383178710938"
"-0.0001850188709795475","-0.0003548134118318558","-0.013815104961395264"
"0.00041886651888489723","-0.0010074898600578308","-0.01453167200088501"
"-0.0012634960003197193","-0.000647401437163353","-0.013890385627746582"
"-0.0009072353132069111","-0.0006856657564640045","-0.01250225305557251"
"-0.00017650239169597626","-9.663961827754974e-05","-0.016242384910583496"
"-0.00037878379225730896","-1.4759600162506104e-05","-0.015266239643096924"
"0.00018174713477492332","-0.0002742726355791092","-0.015968263149261475"
"-1.481594517827034e-05","-0.0009958148002624512","-0.015097856521606445"
"0.00044379523023962975","-0.0006337855011224747","-0.014258623123168945"
"-0.004101077560335398","0.009107200428843498","-0.06077319383621216"
